IDS_alert,End_of_Block,Response Time,Src_ip,Dst_ip,Signature
2025-05-08T03:06:52.059930+07:00,2025-05-08T03:06:53.122255+07:00,1.062325,10.0.0.1,,ET SCAN
2025-05-08T03:10:15.591966+07:00,2025-05-08T03:10:16.392160+07:00,0.800195,10.0.0.1,,ET SCAN
2025-05-08T03:11:25.199992+07:00,2025-05-08T03:11:26.030635+07:00,0.830643,10.0.0.1,,ET SCAN
2025-05-08T03:13:45.318795+07:00,2025-05-08T03:13:46.850904+07:00,1.532109,10.0.0.1,,ET SCAN
2025-05-08T03:14:40.318010+07:00,2025-05-08T03:14:41.174024+07:00,0.856014,10.0.0.1,,ET SCAN
2025-05-08T03:19:48.675438+07:00,2025-05-08T03:19:49.968019+07:00,1.292582,10.0.0.1,,ET DOS
2025-05-08T03:20:51.579239+07:00,2025-05-08T03:20:52.992823+07:00,1.413584,10.0.0.1,,ET DOS
2025-05-08T03:21:22.903257+07:00,2025-05-08T03:21:23.976924+07:00,1.073668,10.0.0.1,,ET DOS
2025-05-08T03:22:00.091100+07:00,2025-05-08T03:22:01.115018+07:00,1.023918,10.0.0.1,,ET DOS
2025-05-08T03:23:10.123123+07:00,2025-05-08T03:23:11.629681+07:00,1.506558,10.0.0.1,,ET DOS
2025-05-08T03:38:44.863174+07:00,2025-05-08T03:38:46.014592+07:00,1.151418,10.0.0.1,,ET DOS
2025-05-08T03:47:11.501719+07:00,2025-05-08T03:47:13.016763+07:00,1.515044,10.0.0.1,10.0.0.2,Network Trojan
2025-05-08T03:48:04.718794+07:00,2025-05-08T03:48:06.114657+07:00,1.395863,10.0.0.1,10.0.0.2,Network Trojan
2025-05-08T03:49:06.673523+07:00,2025-05-08T03:49:08.253199+07:00,1.579676,10.0.0.1,10.0.0.2,Network Trojan
2025-05-08T03:50:12.954318+07:00,2025-05-08T03:50:14.458220+07:00,1.503902,10.0.0.1,10.0.0.2,Network Trojan
2025-05-08T03:50:42.449610+07:00,2025-05-08T03:50:44.195545+07:00,1.745935,10.0.0.1,10.0.0.2,Network Trojan
2025-05-08T03:55:56.787219+07:00,2025-05-08T03:55:57.943738+07:00,1.156518,10.0.0.1,10.0.0.2,Network Trojan
